City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
154,Virginia Beach,US,36.8529,-75.978,79.03,74,75,18.41,broken clouds
155,Waitati,NZ,-45.75,170.5667,55.8,89,47,3.65,scattered clouds
156,Kikwit,CD,-5.041,18.8162,77.27,69,100,2.8,overcast clouds
157,Saint-Georges,GD,12.0564,-61.7485,85.68,66,40,23.02,scattered clouds
158,Port Lincoln,AU,-34.7333,135.8667,53.6,65,42,6.17,scattered clouds
159,Iqaluit,CA,63.7506,-68.5145,19.13,73,20,27.63,few clouds
160,Cervo,ES,43.6702,-7.4101,58.96,89,100,11.77,overcast clouds
161,La Mana,EC,-0.9333,-79.2167,81.66,76,98,1.99,light rain
162,Lavrentiya,RU,65.5833,-171.0,14.5,91,54,2.42,broken clouds
163,Belen,TR,36.4891,36.2233,55.54,55,75,11.5,broken clouds
164,Uruzgan,AF,32.8333,66.0,71.26,19,5,1.72,clear sky
165,Angoche,MZ,-16.2325,39.9086,74.79,78,5,6.67,clear sky
166,Axim,GH,4.8699,-2.2405,79.41,83,100,11.25,heavy intensity rain
167,Moberly,US,39.4184,-92.4382,60.78,71,75,12.66,broken clouds
168,Churapcha,RU,62.0025,132.4325,24.98,95,69,3.51,broken clouds
169,Puerto Escondido,MX,15.85,-97.0667,85.03,74,0,5.75,clear sky
170,Sabinas Hidalgo,MX,26.5,-100.1667,97.72,37,16,9.1,few clouds
171,Mar Del Plata,AR,-38.0023,-57.5575,64.42,79,0,9.22,clear sky
172,Emba,KZ,48.8264,58.1442,50.18,45,100,15.9,overcast clouds
173,Port Augusta,AU,-32.5,137.7667,48.6,81,0,0.18,clear sky
174,Teguise,ES,29.0605,-13.564,68.22,68,20,19.57,few clouds
175,Provideniya,RU,64.3833,-173.3,30.78,75,13,6.6,few clouds
176,Huilong,CN,31.8111,121.655,65.93,98,83,7.96,broken clouds
177,Luderitz,NA,-26.6481,15.1594,59.0,81,2,15.17,clear sky
178,Saskylakh,RU,71.9167,114.0833,15.73,85,85,19.55,overcast clouds
179,Flinders,AU,-34.5833,150.8552,52.38,67,1,3.0,clear sky
180,Catuday,PH,16.2923,119.8062,81.7,78,100,7.29,overcast clouds
181,Benguela,AO,-12.5763,13.4055,77.88,70,14,1.5,few clouds
182,Bintulu,MY,3.1667,113.0333,79.21,94,40,0.0,scattered clouds
183,Carnarvon,AU,-24.8667,113.6333,60.87,63,40,4.61,scattered clouds
184,Eston,CA,51.1501,-108.7514,64.92,30,6,27.49,clear sky
185,San Quintin,MX,30.4833,-115.95,70.09,62,1,13.91,clear sky
186,Bocas Del Toro,PA,9.3333,-82.25,80.98,77,100,3.51,overcast clouds
187,Kuppam,IN,12.75,78.3667,77.18,65,100,8.95,overcast clouds
188,Nikolskoye,RU,59.7035,30.7861,55.29,86,21,4.97,few clouds
189,Aswan,EG,24.0934,32.907,77.94,15,1,13.89,clear sky
190,Lasa,IT,46.6166,10.7002,56.28,97,100,3.71,overcast clouds
191,Invermere,CA,50.5167,-116.0354,55.42,37,7,5.88,clear sky
192,Cabinda,AO,-5.55,12.2,82.54,83,20,5.75,few clouds
193,Fuerte Olimpo,PY,-21.0415,-57.8738,82.94,34,0,5.06,clear sky
194,Antofagasta,CL,-23.65,-70.4,63.68,74,92,8.43,overcast clouds
195,Ambilobe,MG,-13.2,49.05,73.63,84,0,3.96,clear sky
196,Rundu,NA,-17.9333,19.7667,65.3,43,28,2.46,scattered clouds
197,Karpathos,GR,35.507,27.2132,62.56,72,100,16.11,overcast clouds
198,Arman,RU,59.7,150.1667,32.02,91,100,7.18,overcast clouds
199,Tuy Hoa,VN,13.0833,109.3,76.51,92,84,3.49,broken clouds
200,Dolores,AR,-36.3132,-57.6792,71.13,46,0,6.67,clear sky
201,Fort Nelson,CA,58.8053,-122.7002,49.59,34,100,9.22,overcast clouds
202,Havelock,US,34.8791,-76.9013,84.97,84,75,17.27,broken clouds
203,La Macarena,CO,2.1837,-73.7849,80.11,71,100,3.53,overcast clouds
204,Saint-Joseph,RE,-21.3667,55.6167,73.78,75,33,14.5,scattered clouds
205,Mayaky,UA,47.4408,29.5599,50.72,54,6,6.24,clear sky
206,Beyneu,KZ,45.3167,55.2,61.45,54,83,22.32,broken clouds
207,Karasuk,RU,53.7377,78.0403,47.41,42,100,19.75,overcast clouds
208,Lisakovsk,KZ,52.5369,62.4936,40.96,35,5,8.05,clear sky
209,Baykit,RU,61.67,96.37,31.55,96,20,2.46,few clouds
210,Lamar,US,33.6668,-95.5836,78.64,53,0,10.36,clear sky
211,Guerrero Negro,MX,27.9769,-114.0611,71.44,54,2,12.46,clear sky
212,Sabang,ID,5.8933,95.3214,81.7,77,100,18.92,light rain
213,Ewa Beach,US,21.3156,-158.0072,78.75,67,75,17.27,broken clouds
214,Miracema Do Tocantins,BR,-9.5618,-48.3967,88.34,57,87,3.85,overcast clouds
215,Pitimbu,BR,-7.4706,-34.8086,82.99,79,81,12.37,broken clouds
216,Diego De Almagro,CL,-26.3667,-70.05,73.71,33,100,7.47,overcast clouds
217,Okhotsk,RU,59.3833,143.3,29.08,88,100,6.35,overcast clouds
218,Pajapan,MX,18.25,-94.7,99.41,34,0,7.52,clear sky
219,Verkhnyaya Inta,RU,65.9811,60.3094,20.88,88,17,4.56,few clouds
220,Faanui,PF,-16.4833,-151.75,80.94,74,1,1.77,clear sky
221,Saint-Honore,CA,48.5334,-71.0824,46.29,43,65,13.8,broken clouds
222,Sibolga,ID,1.7427,98.7792,76.55,97,100,4.61,overcast clouds
223,Djibo,BF,14.1022,-1.6306,101.14,12,100,6.35,overcast clouds
224,Svetlyy,RU,54.675,20.1347,51.85,87,0,3.89,clear sky
225,Kirkwall,GB,58.9848,-2.9587,50.05,66,40,12.66,scattered clouds
226,Waukegan,US,42.3636,-87.8448,50.85,93,100,13.8,light rain
227,Paracuru,BR,-3.41,-39.0306,82.11,86,92,11.79,overcast clouds
228,Mangrul Pir,IN,20.3167,77.35,93.06,17,3,12.08,clear sky
229,Bengkulu,ID,-3.8004,102.2655,77.61,89,100,8.52,light rain
230,Pizarro,CO,4.9533,-77.366,80.67,76,78,3.6,light rain
231,Sao Filipe,CV,14.8961,-24.4956,73.81,79,1,13.38,clear sky
232,Zhuzhou,CN,27.8333,113.15,75.33,83,100,2.59,overcast clouds
233,Jaguaruna,BR,-28.615,-49.0256,71.24,65,6,7.09,clear sky
234,Umm Lajj,SA,25.0213,37.2685,75.69,52,0,12.73,clear sky
235,Katsuura,JP,35.1333,140.3,62.62,90,100,9.15,moderate rain
236,Visnes,NO,59.3556,5.2242,49.21,93,75,11.5,broken clouds
