City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Vaini,TO,2022-04-26 07:29:55,-21.2,-175.2,71.76,88,75,8.05
123,Katsuura,JP,2022-04-26 07:29:55,35.1333,140.3,71.62,88,100,25.23
124,Martil,MA,2022-04-26 07:29:55,35.6166,-5.2752,62.56,77,40,3.44
125,Chumikan,RU,2022-04-26 07:29:56,54.7183,135.315,35.13,70,100,7.02
126,Altay,CN,2022-04-26 07:29:56,47.8667,88.1167,45.7,70,100,6.6
127,Guadalupe Y Calvo,MX,2022-04-26 07:29:57,26.1,-106.9667,47.77,35,0,6.89
128,Port Elizabeth,ZA,2022-04-26 07:29:57,-33.918,25.5701,64.31,62,0,10.36
129,Thompson,CA,2022-04-26 07:29:57,55.7435,-97.8558,12.36,67,75,0.0
130,Jalu,LY,2022-04-26 07:29:58,29.0331,21.5482,80.98,18,36,15.41
131,Bereda,ES,2022-04-26 07:29:58,43.2686,-7.5406,50.14,100,78,0.76
132,Bahir Dar,ET,2022-04-26 07:29:59,11.5936,37.3908,76.46,25,21,3.36
133,Chuy,UY,2022-04-26 07:29:59,-33.6971,-53.4616,61.3,97,12,4.43
134,Payo,ID,2022-04-26 07:30:00,-3.7508,103.6372,85.48,65,90,3.36
135,Sauda,NO,2022-04-26 07:31:00,59.6506,6.3542,47.68,82,19,4.23
136,Touros,BR,2022-04-26 07:31:00,-5.1989,-35.4608,74.75,91,94,9.35
137,Goundi,TD,2022-04-26 07:31:01,9.3627,17.366,92.95,39,88,7.78
138,Laguna,US,2022-04-26 07:31:01,38.421,-121.4238,60.46,69,31,3.0
139,Cabo San Lucas,MX,2022-04-26 07:31:02,22.8909,-109.9124,72.52,61,0,9.17
140,Ancud,CL,2022-04-26 07:31:02,-41.8697,-73.8203,46.22,76,95,18.75
141,Port Augusta,AU,2022-04-26 07:27:50,-32.5,137.7667,65.53,76,97,8.03
142,Kavieng,PG,2022-04-26 07:31:03,-2.5744,150.7967,83.07,75,61,10.49
143,San Francisco,US,2022-04-26 07:27:13,37.7749,-122.4194,56.44,80,40,21.85
144,Esna,EG,2022-04-26 07:31:03,25.2934,32.554,91.6,14,0,4.9
145,Bagdarin,RU,2022-04-26 07:31:04,54.4333,113.6,34.75,28,100,9.73
146,Palaia Fokaia,GR,2022-04-26 07:31:04,37.72,23.9463,79.86,48,11,3.22
147,Jamestown,US,2022-04-26 07:27:39,42.097,-79.2353,53.02,77,100,3.44
148,Asekeyevo,RU,2022-04-26 07:31:05,53.5742,52.7972,64.42,53,100,14.99
149,Ambon,ID,2022-04-26 07:31:05,-3.6954,128.1814,82.54,83,40,3.44
150,Smithers,CA,2022-04-26 07:28:44,54.7804,-127.1743,37.72,87,100,3.44
151,Kikwit,CD,2022-04-26 07:31:06,-5.041,18.8162,72.72,95,100,1.19
152,Asyut,EG,2022-04-26 07:31:06,27.181,31.1837,90.61,18,4,4.43
153,Vierzon,FR,2022-04-26 07:31:06,47.2101,2.0625,47.86,74,6,7.65
154,Iqaluit,CA,2022-04-26 07:30:12,63.7506,-68.5145,-11.47,70,75,2.3
155,Cidreira,BR,2022-04-26 07:31:07,-30.1811,-50.2056,67.41,95,100,10.13
156,Staraya Poltavka,RU,2022-04-26 07:31:07,50.4772,46.4814,70.43,41,100,16.89
157,Ayan,RU,2022-04-26 07:31:08,56.45,138.1667,34.34,84,35,0.83
158,Anton Lizardo,MX,2022-04-26 07:31:08,19.05,-95.9833,80.22,89,30,9.22
159,Makarska,HR,2022-04-26 07:31:09,43.2969,17.0178,62.04,62,22,2.71
160,Nemuro,JP,2022-04-26 07:31:09,43.3236,145.575,43.16,95,100,15.93
161,Urumqi,CN,2022-04-26 07:31:09,43.801,87.6005,56.35,63,75,6.71
162,Cap Malheureux,MU,2022-04-26 07:26:38,-19.9842,57.6142,81.46,62,0,8.99
163,Karratha,AU,2022-04-26 07:31:10,-20.7377,116.8463,84.63,39,98,16.64
164,Methoni,GR,2022-04-26 07:31:10,36.8197,21.7049,73.26,60,100,15.82
165,Avarua,CK,2022-04-26 07:31:11,-21.2078,-159.775,77.05,94,75,5.75
166,Dikson,RU,2022-04-26 07:31:11,73.5069,80.5464,18.14,88,100,7.99
167,Bunia,CD,2022-04-26 07:31:12,1.5667,30.25,72.52,76,91,4.0
168,Vytegra,RU,2022-04-26 07:31:12,61.0064,36.4481,37.4,98,100,6.85
169,Kodinar,IN,2022-04-26 07:31:12,20.7903,70.7031,95.5,36,2,15.68
170,Barrow,US,2022-04-26 07:31:13,71.2906,-156.7887,8.62,85,100,11.5
171,Saskylakh,RU,2022-04-26 07:31:13,71.9167,114.0833,14.79,88,39,2.89
172,Cockburn Town,TC,2022-04-26 07:30:20,21.4612,-71.1419,76.35,72,70,18.39
